demo,female,9,year4
pretest-time,1516629592224,1516629941020
pretest,wolf,apple
pretest,butterfly,flower
pretest,eagle,dragonfly
pretest,frog,fly
pretest,snake,mouse
Round1,135034,932.5976875000036
Round2,114011,865.7533750000038
midtest-time,1516630276266,1516630348509
midtest,grasshopper,wheat
midtest,butterfly,flower
midtest,frog,dragonfly
midtest,snake,mouse
midtest,eagle,bird
midtest,wolf,apple
midtest,frog,fly
Round3,49060,643.7281875000035
Round4,40169,578.5310000000026
posttest-time,1516630494794,1516630567043
posttest,snake,flower
posttest,snake,butterfly
posttest,snake,dragonfly
posttest,snake,grasshopper
posttest,snake,apple
posttest,snake,frog
posttest,snake,fly
posttest,snake,mouse
posttest,grasshopper,apple
posttest,dragonfly,wheat
posttest,eagle,bird
posttest,wolf,apple
posttest,frog,fly
posttest,butterfly,flower
posttest,butterfly,wheat
