demo,male,8,year4
pretest-time,1516630827894,1516631182519
pretest,butterfly,wheat
pretest,eagle,apple
pretest,bird,snake
pretest,grasshopper,flower
pretest,wolf,mouse
pretest,mouse,dragonfly
pretest,frog,butterfly
pretest,fly,apple
pretest,dragonfly,grasshopper
pretest,snake,wheat
pretest,dragonfly,flower
Round1,102004,686.3547500000032
Round2,70255,710.6580625000031
midtest-time,1516631435827,1516631567450
midtest,fly,wheat
midtest,frog,fly
midtest,grasshopper,flower
midtest,snake,mouse
midtest,wolf,eagle
midtest,eagle,apple
midtest,bird,dragonfly
midtest,butterfly,mouse
midtest,mouse,apple
midtest,dragonfly,flower
Round3,116635,850.1949375000038
Round4,111047,907.3166250000037
posttest-time,1516631839426,1516631951319
posttest,wolf,eagle
posttest,bird,snake
posttest,eagle,butterfly
posttest,dragonfly,flower
posttest,mouse,apple
posttest,fly,wheat
posttest,grasshopper,flower
posttest,grasshopper,wheat
posttest,frog,fly
posttest,snake,frog
