demo,female,8,year4
pretest-time,1516717988048,1516718151895
pretest,dragonfly,grasshopper
pretest,mouse,apple
pretest,eagle,wheat
pretest,wolf,bird
pretest,butterfly,flower
pretest,frog,fly
Round1,131802,1001.1217500000046
Round2,91483,904.3570625000032
midtest-time,1516718455535,1516718527129
midtest,grasshopper,flower
midtest,eagle,bird
midtest,butterfly,apple
midtest,wolf,mouse
midtest,dragonfly,butterfly
midtest,frog,fly
Round3,85881,849.5494375000036
Round4,79535,855.6838125000037
posttest-time,1516718734626,1516718814260
posttest,mouse,wolf
posttest,grasshopper,apple
posttest,bird,wheat
posttest,snake,fly
posttest,frog,dragonfly
posttest,butterfly,flower
