demo,male,9,year4
pretest-time,1516805303488,1516805684137
pretest,snake,fly
pretest,butterfly,flower
pretest,mouse,wheat
pretest,wolf,frog
pretest,bird,wheat
pretest,dragonfly,apple
pretest,eagle,wheat
pretest,grasshopper,flower
pretest,frog,fly
Round1,65520,673.0591250000033
Round2,32833,571.1309375000028
midtest-time,1516805866820,1516805971384
midtest,bird,wheat
midtest,fly,apple
midtest,frog,fly
midtest,dragonfly,fly
Round3,46026,611.510125000003
Round4,49928,633.8931875000023
posttest-time,1516806106912,1516806169790
posttest,dragonfly,fly
posttest,butterfly,flower
posttest,fly,apple
posttest,snake,frog
posttest,grasshopper,wheat
