462028,start,0,4
463036,proposed,rul,0.990833580493927,
465099,autoexe,rul,1,
467597,proposed,encour,0.9885423183441162,
469611,autoexe,encour,1,
469709,select,congrats,1,
472107,proposed,congrats,0.9752957224845886,
472911,press,congrats,1,
472911,select,encour,1,
477633,proposed,mvc_mouse_wheat-1_467_239,0.9781270623207092,mouse,wheat-1
479704,autoexe,mv_mouse_467_239,1,mouse,wheat-1
483676,proposed,rul,0.9848014712333679,
485638,press,rul,1,
485638,select,congrats,1,
488297,proposed,congrats,0.9981364607810974,
488298,press,congrats,1,
488298,select,rul,1,
489812,skip,rul,1,
491863,proposed,congrats,0.9916479587554932,
493316,proposed,congrats,0.9969044923782349,
493963,autoexe,congrats,1,
496318,proposed,encour,0.992828905582428,
497568,press,encour,1,
497569,select,encour,1,
499811,proposed,rul,0.9837002754211426,
501858,autoexe,rul,1,
504347,proposed,encour,0.9658187627792358,
506443,autoexe,encour,1,
511365,proposed,rul,0.988921582698822,
513368,autoexe,rul,1,
527519,endround
540294,start,1,4
541783,proposed,rul,0.990833580493927,
543852,autoexe,rul,1,
546302,proposed,congrats,0.9957759380340576,
546763,press,congrats,1,
546764,select,rul,1,
549853,proposed,encour,0.9834670424461365,
551906,autoexe,encour,1,
555379,select,mv_dragonfly_573_533,1,fly,dragonfly
561518,select,congrats,1,
564541,proposed,rul,0.979915201663971,
564859,press,rul,1,
564859,select,rul,1,
568963,proposed,congrats,0.9911808967590332,
570935,press,congrats,1,
570935,select,encour,1,
573066,proposed,congrats,0.9936496615409851,
573066,endround
698204,start,2,4
699779,proposed,rul,0.990833580493927,
701859,autoexe,rul,1,
705341,proposed,congrats,0.9949989914894104,
706502,press,congrats,1,
706502,select,congrats,1,
708825,proposed,congrats,0.9927774667739868,
710827,autoexe,congrats,1,
713329,proposed,congrats,0.9971452355384827,
714086,press,congrats,1,
714086,select,encour,1,
719812,select,mv_butterfly_868_128,1,butterfly
724402,proposed,congrats,0.9934119582176208,
725206,press,congrats,1,
725206,select,congrats,1,
727798,proposed,rul,0.9950476288795471,
729801,autoexe,rul,1,
734169,select,mv_snake_350_569,1,snake,frog
740093,proposed,encour,0.9720944166183472,
742107,press,encour,1,
742108,select,congrats,1,
744209,select,encour,1,
744258,endround
757054,start,3,4
758615,proposed,rul,0.990833580493927,
760681,autoexe,rul,1,
764160,proposed,mvc_grasshopper_wheat-1_317_283,0.9827261567115784,grasshopper,wheat-1
765418,press,mv_grasshopper_317_283,1,grasshopper,wheat-1
765419,select,congrats,1,
767714,proposed,congrats,0.9984553456306458,
769816,skip,congrats,1,
772186,proposed,encour,0.9936781525611877,
772651,press,encour,1,
772651,select,congrats,1,
775332,proposed,mvc_snake_frog_342_228,0.9786071181297302,snake,frog
775333,press,mv_snake_342_228,1,snake,frog
775333,select,rul,1,
779803,proposed,congrats,0.9884227514266968,
781835,autoexe,congrats,1,
784400,select,mv_grasshopper_190_31,1,grasshopper
788746,proposed,encour,0.9696850180625916,
789982,press,encour,1,
789982,select,congrats,1,
792264,proposed,congrats,0.9901564717292786,
793276,press,congrats,1,
805553,select,mv_mouse_826_328,1,mouse
807001,endround
